,$\bf{r}\ \it{(-)}$
5.611944376182497e+17,0.17035714196262824
1.2980565698766108e+18,0.15418036479095484
2.2016737009752993e+18,0.1479398222388698
2.78197342761506e+18,0.13665096991889092
3.481505207518764e+18,0.11430334076651662
4.781246221457187e+18,0.11720006032259446
